Applicant ID,Gender,Age Group,Race,Training,Signals,Yield,Speed Control,Night Drive,Road Signs,Steer Control,Mirror Usage,Confidence,Parking,Theory Test,Reactions,Qualified
AID0001,Male,Young Adult,Other,None,38.48,30.29,37.03,33.53,39.61,58.16,53.42,35.32,38.19,70.68,Average,No
AID0002,Female,Young Adult,Black,None,51.76,19.13,63.05,34.87,19.56,16.48,27.97,22.91,24.23,78.18,Average,No
AID0003,Male,Middle Age,Black,None,30.21,48.13,43.13,42.43,60.93,20.74,28.86,32.32,44.11,79.6,Fast,Yes
AID0004,Male,Young Adult,Other,None,34.75,47.28,50.49,42.1,22.52,33.87,48.52,24.9,37.56,57.34,Average,No
AID0005,Male,Teenager,Other,Advanced,78.52,83.93,59.79,52.68,67.47,89.24,30.31,43.85,55.91,78.44,Average,Yes
AID0006,Female,Young Adult,Other,Basic,56.09,59.31,64.18,55.77,60.92,61.85,60.88,60.91,42.64,49.4,Average,Yes
AID0007,Male,Middle Age,Black,Basic,62.63,45.75,53.01,31.71,62.35,41.26,44.44,47.03,51.41,78.36,Average,Yes
AID0008,Male,Young Adult,Other,Basic,28.47,31.45,58.16,61.68,46.11,50.7,42.56,38.97,31.64,92.37,Average,Yes
AID0009,Male,Young Adult,Other,None,35.59,41.8,45.71,32.72,10.09,34.31,27.35,36.64,31.94,64.57,Slow,No
AID0010,Female,Teenager,White,Advanced,56.62,50.26,35.12,49.42,26.28,57.59,41.2,37.65,50.27,50.17,Average,Yes
AID0011,Male,Young Adult,White,Advanced,48.02,67.76,58.07,40.91,69.04,54.91,47.66,46.34,65.75,85.4,Average,Yes
AID0012,Male,Middle Age,Black,None,10.62,54.69,46.86,30.81,54.46,54.09,56.63,34.34,37.4,89.95,Fast,Yes
AID0013,Male,Teenager,Other,Basic,26.85,58.78,38.82,28.49,42.16,51.18,42.26,59.8,59.1,92.83,Average,No
AID0014,Male,Young Adult,Other,Advanced,62.92,52.13,57.03,56.83,47.35,63.33,74.88,62.7,52.64,76.41,Average,Yes
AID0015,Female,Middle Age,White,Advanced,64.16,94.41,50.09,70.92,57.35,81.14,76.34,35.59,70.8,91.64,Average,Yes
AID0016,Male,Middle Age,Black,Basic,62.81,66.2,51.39,55.77,51.59,72.71,71.62,53.79,39.53,40.92,Slow,Yes
AID0017,Female,Young Adult,White,Basic,48.27,44.77,45.77,51.34,32.88,33.7,47.02,41.15,40.67,46.43,Fast,Yes
AID0018,Female,Middle Age,White,None,60.9,75.72,47.1,33.44,42.5,51.04,45.94,54.35,24.89,45.55,Average,No
AID0019,Female,Young Adult,White,Advanced,55.81,42.91,70.4,55.93,69.56,40.65,44.48,79.6,53.63,82.76,Average,Yes
AID0020,Male,Young Adult,White,None,20.76,63.14,27.69,32.1,18.49,38.17,39.23,27.55,26.64,44.17,Average,No
AID0021,Female,Middle Age,Other,Advanced,57.42,72.15,79.22,59.34,40.99,77.6,61.98,54.73,75.98,69.78,Average,Yes
AID0022,Male,Middle Age,Other,Basic,66.78,63.5,78.15,39.35,49.95,58.76,46.6,46.42,61.99,68.36,Fast,Yes
AID0023,Female,Middle Age,White,Basic,46.14,45.62,49.78,52.47,73.33,54.91,33.42,52.92,65.83,58.64,Average,Yes
AID0024,Female,Middle Age,Black,Basic,45.04,63.98,63.96,58.26,60.34,67.29,61.23,66.53,58.08,92.22,Average,Yes
AID0025,Female,Young Adult,Black,None,32.01,61.98,37.11,33.1,36.4,34.47,22.5,43.33,49.34,50.23,Fast,No
AID0026,Female,Young Adult,Black,None,40.66,14.54,31.03,18.13,36.58,56.55,35.67,35.04,50.14,61.15,Fast,No
AID0027,Female,Middle Age,Black,None,48.42,33.14,52.11,37.71,58.67,35.99,46.92,45.33,56.31,86.45,Slow,No
AID0028,Female,Young Adult,White,None,31.47,43.96,37.81,25.21,21.64,32.86,42.96,29.07,36.45,41.83,Slow,No
AID0029,Female,Middle Age,Other,Advanced,62.07,56.05,58.79,70.72,62.4,74.35,65.5,63.79,64.7,80.38,Slow,Yes
AID0030,Female,Middle Age,Black,Basic,37.6,68.82,59.93,59.08,72.71,66.14,45.46,47.42,56.18,88.98,Average,Yes
AID0031,Male,Middle Age,White,None,54.96,55.29,45.83,45.81,16.7,27.94,22.69,62.78,35.7,95.94,Fast,No
AID0032,Male,Young Adult,Black,Advanced,53.64,70.99,62.2,63.99,48.86,63.67,52.38,55.81,54.7,92.58,Average,Yes
AID0033,Female,Young Adult,Black,Advanced,51.63,66.7,58.08,81.35,57.36,58.58,40.4,34.65,64.75,59.16,Average,Yes
AID0034,Female,Teenager,White,Advanced,32.46,37.82,45.51,29.12,49.84,50.36,55.42,49.76,61.33,75.18,Fast,No
AID0035,Female,Young Adult,Other,Advanced,64.4,56.27,59.61,65.55,55.81,42.55,33.56,47.63,60.49,44.64,Average,Yes
AID0036,Male,Teenager,Other,None,41.27,43.47,0,34.34,15.52,34.55,42.72,24.29,7.74,55.47,Average,No
AID0037,Female,Young Adult,White,Basic,49,59.62,59.85,57.83,52.04,52.2,53,62.27,53.02,45.65,Fast,Yes
AID0038,Male,Young Adult,Other,Advanced,53.4,71.68,58.81,54.3,52.94,66.29,66.29,84.27,69.31,58.91,Fast,Yes
AID0039,Male,Young Adult,White,Basic,34.37,69.94,48.86,42.69,55.29,75.44,57.44,55.16,47.19,92.51,Fast,Yes
AID0040,Male,Young Adult,White,None,52.26,55.49,30.32,52.25,42.04,36.8,46.7,19.17,39.78,60.83,Average,No
AID0041,Male,Teenager,White,Advanced,44.48,51.74,61.35,60.74,54.74,47.78,41.98,39.65,55.75,73.71,Fast,Yes
AID0042,Male,Teenager,Other,None,16.73,16.62,51.19,52.5,19.5,28.24,28.32,10.65,16.03,66,Slow,No
AID0043,Female,Middle Age,White,None,37.96,28.33,25.68,45.69,60.11,33.39,61.42,34.3,67.27,67.53,Average,No
AID0044,Female,Young Adult,Black,Basic,49.22,33.03,35.45,56.24,51.8,47.21,28.46,58.83,47.08,98.17,Fast,No
AID0045,Female,Teenager,Other,Basic,51.58,29.16,43.92,46.62,52.17,32.95,28.96,31.43,43.57,57.77,Average,Yes
AID0046,Female,Young Adult,Other,Basic,41.54,36.99,55.17,35.5,56.44,43.96,43.32,54.85,50.68,77.64,Fast,Yes
AID0047,Female,Middle Age,Other,None,50.53,39.85,70.51,44.14,19.24,34.77,44.05,26.02,28.4,65.2,Average,No
