country,continent,population,urban_population,land_area_km2,unemployment_rate,fertility_rate,infant_mortality,life_expectancy,physicians_per_thousand
Afghanistan,Asia,38041754,9797273,652230,0.11,4.47,47.9,64.5,0.28
Albania,Europe,2854191,1747593,28748,0.12,1.62,7.8,78.5,1.2
Algeria,Africa,43053054,31510100,2381741,0.12,3.02,20.1,76.7,1.72
Andorra,Europe,77142,67873,468,,1.27,2.7,,3.33
Angola,Africa,31825295,21061025,1246700,0.07,5.52,51.6,60.8,0.21
Antigua and Barbuda,North America,97118,23800,443,,1.99,5,76.9,2.76
Argentina,South America,44938712,41339571,2780400,0.1,2.26,8.8,76.5,3.96
Armenia,Asia,2957731,1869848,29743,0.17,1.76,11,74.9,4.4
Australia,Australia/Oceania,25766605,21844756,7741220,0.05,1.74,3.1,82.7,3.68
Austria,Europe,8877067,5194416,83871,0.05,1.47,2.9,81.6,5.17
Azerbaijan,Asia,10023318,5616165,86600,0.06,1.73,19.2,72.9,3.45
The Bahamas,North America,389482,323784,13880,0.1,1.75,8.3,73.8,1.94
Bahrain,Asia,1501635,1467109,765,0.01,1.99,6.1,77.2,0.93
Bangladesh,Asia,167310838,60987417,148460,0.04,2.04,25.1,72.3,0.58
Barbados,North America,287025,89431,430,0.1,1.62,11.3,79.1,2.48
Belarus,Europe,9466856,7482982,207600,0.05,1.45,2.6,74.2,5.19
Belgium,Europe,11484055,11259082,30528,0.06,1.62,2.9,81.6,3.07
Belize,North America,390353,179039,22966,0.06,2.31,11.2,74.5,1.12
Benin,Africa,11801151,5648149,112622,0.02,4.84,60.5,61.5,0.08
Bhutan,Asia,727145,317538,38394,0.02,1.98,24.8,71.5,0.42
Bolivia,South America,11513100,8033035,1098581,0.04,2.73,21.8,71.2,1.59
Bosnia and Herzegovina,Europe,3301000,1605144,51197,0.18,1.27,5,77.3,2.16
Botswana,Africa,2346179,1616550,581730,0.18,2.87,30,69.3,0.37
Brazil,South America,212559417,183241641,8515770,0.12,1.73,12.8,75.7,2.15
Brunei,Asia,433285,337711,5765,0.09,1.85,9.8,75.7,1.61
Bulgaria,Europe,6975761,5256027,110879,0.04,1.56,5.9,74.9,4.03
Burkina Faso,Africa,20321378,6092349,274200,0.06,5.19,49,61.2,0.08
Burundi,Africa,11530580,1541177,27830,0.01,5.41,41,61.2,0.1
Ivory Coast (Cote d'Ivoire),Africa,25716544,13176900,322463,0.03,4.65,59.4,57.4,0.23
Cape Verde,Africa,483628,364029,4033,0.12,2.27,16.7,72.8,0.77
Cambodia,Asia,16486542,3924621,181035,0.01,2.5,24,69.6,0.17
Cameroon,Africa,25876380,14741256,475440,0.03,4.57,50.6,58.9,0.09
