customer_id,city,state_province,country,region
39278,Naperville,Illinois,United States,Interior
21102,Henderson,Kentucky,United States,Gulf
21240,Los Angeles,California,United States,Pacific
32368,Huntsville,Texas,United States,Interior
25832,Laredo,Texas,United States,Interior
39448,Springfield,Virginia,United States,Gulf
11050,San Francisco,California,United States,Pacific
16678,Bossier City,Louisiana,United States,Gulf
36183,Mount Pleasant,South Carolina,United States,Gulf
45144,Newark,Ohio,United States,Atlantic
39952,Philadelphia,Pennsylvania,United States,Atlantic
30317,Roswell,Georgia,United States,Gulf
42743,Philadelphia,Pennsylvania,United States,Atlantic
37019,Scottsdale,Arizona,United States,Pacific
37374,Miami,Florida,United States,Gulf
29596,Las Vegas,Nevada,United States,Pacific
37425,Lafayette,Indiana,United States,Interior
45930,Alexandria,Virginia,United States,Gulf
44115,San Diego,California,United States,Pacific
31222,Green Bay,Wisconsin,United States,Interior
13827,Saint Petersburg,Florida,United States,Gulf
30284,San Diego,California,United States,Pacific
31759,Escondido,California,United States,Pacific
34132,San Diego,California,United States,Pacific
16186,North Las Vegas,Nevada,United States,Pacific
22271,Columbia,Missouri,United States,Interior
12189,Seattle,Washington,United States,Pacific
34657,Houston,Texas,United States,Interior
19471,Seattle,Washington,United States,Pacific
43333,Arlington,Texas,United States,Interior
18806,Los Angeles,California,United States,Pacific
36442,Richmond,Indiana,United States,Interior
19443,Woodstock,Illinois,United States,Interior
23781,Moreno Valley,California,United States,Pacific
30695,El Paso,Texas,United States,Interior
28107,Medford,Oregon,United States,Pacific
21436,El Paso,Texas,United States,Interior
22215,Houston,Texas,United States,Interior
31220,Seattle,Washington,United States,Pacific
34134,New York City,New York,United States,Atlantic
40832,Elmhurst,Illinois,United States,Interior
34475,New York City,New York,United States,Atlantic
38109,Philadelphia,Pennsylvania,United States,Atlantic
18405,Columbus,Ohio,United States,Atlantic
32599,San Diego,California,United States,Pacific
46280,Wilmington,North Carolina,United States,Gulf
43191,Columbia,South Carolina,United States,Gulf
43968,Margate,Florida,United States,Gulf
22964,Yonkers,New York,United States,Atlantic
22409,Des Moines,Washington,United States,Pacific
31514,Seattle,Washington,United States,Pacific
27230,Royal Oak,Michigan,United States,Interior
30543,Denver,Colorado,United States,Pacific
30289,Roseville,California,United States,Pacific
11526,Huntington Beach,California,United States,Pacific
15948,Chesapeake,Virginia,United States,Gulf
41462,Logan,Utah,United States,Pacific
43046,Chicago,Illinois,United States,Interior
40386,Tampa,Florida,United States,Gulf
11512,Raleigh,North Carolina,United States,Gulf
12345,Dallas,Texas,United States,Interior
45291,Lakeville,Minnesota,United States,Interior
38823,San Francisco,California,United States,Pacific
30431,Hamilton,Ohio,United States,Atlantic
34356,Asheville,North Carolina,United States,Gulf
45972,Knoxville,Tennessee,United States,Gulf
38468,Tucson,Arizona,United States,Pacific
18652,Delray Beach,Florida,United States,Gulf
34064,Fresno,California,United States,Pacific
37663,New York City,New York,United States,Atlantic
18664,San Francisco,California,United States,Pacific
27811,Pomona,California,United States,Pacific
28863,Los Angeles,California,United States,Pacific
28296,Des Moines,Iowa,United States,1/0/00
44332,Springfield,Ohio,United States,Atlantic
15992,Brownsville,Texas,United States,Interior
21674,San Francisco,California,United States,Pacific
23851,Seattle,Washington,United States,Pacific
32102,New York City,New York,United States,Atlantic
40076,Apple Valley,Minnesota,United States,Interior
18482,San Francisco,California,United States,Pacific
20855,Tampa,Florida,United States,Gulf
28721,Miami,Florida,United States,Gulf
31710,Chicago,Illinois,United States,Interior
39355,Philadelphia,Pennsylvania,United States,Atlantic
28786,Revere,Massachusetts,United States,Atlantic
11750,Houston,Texas,United States,Interior
18218,Athens,Georgia,United States,Gulf
39243,Los Angeles,California,United States,Pacific
19112,Los Angeles,California,United States,Pacific
39966,Lafayette,Louisiana,United States,Gulf
29939,Alexandria,Virginia,United States,Gulf
39532,Dearborn Heights,Michigan,United States,Interior
40839,New York City,New York,United States,Atlantic
44236,Los Angeles,California,United States,Pacific
45438,Philadelphia,Pennsylvania,United States,Atlantic
14450,Mobile,Alabama,United States,Gulf
19709,Marietta,Georgia,United States,Gulf
17700,Chandler,Arizona,United States,Pacific
41009,Concord,California,United States,Pacific
12161,Lewiston,Idaho,United States,Pacific
33406,Lodi,California,United States,Pacific
45027,Redondo Beach,California,United States,Pacific
12763,Philadelphia,Pennsylvania,United States,Atlantic
21627,Baltimore,Maryland,United States,Atlantic
11167,Los Angeles,California,United States,Pacific
45636,Wilmington,North Carolina,United States,Gulf
27629,Houston,Texas,United States,Interior
37801,Los Angeles,California,United States,Pacific
23363,San Jose,California,United States,Pacific
11967,Los Angeles,California,United States,Pacific
26763,Henderson,Kentucky,United States,Gulf
12497,Troy,New York,United States,Atlantic
38809,San Francisco,California,United States,Pacific
39516,Philadelphia,Pennsylvania,United States,Atlantic
37052,Wilmington,North Carolina,United States,Gulf
37726,Los Angeles,California,United States,Pacific
43737,Los Angeles,California,United States,Pacific
