Country,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,7.741,1.844,1.572,0.695,0.859,0.142,0.546
Denmark,7.583,1.908,1.52,0.699,0.823,0.204,0.548
Iceland,7.525,1.881,1.617,0.718,0.819,0.258,0.182
Sweden,7.344,1.878,1.501,0.724,0.838,0.221,0.524
Israel,7.341,1.803,1.513,0.74,0.641,0.153,0.193
Netherlands,7.319,1.901,1.462,0.706,0.725,0.247,0.372
Norway,7.302,1.952,1.517,0.704,0.835,0.224,0.484
Luxembourg,7.122,2.141,1.355,0.708,0.801,0.146,0.432
Switzerland,7.06,1.97,1.425,0.747,0.759,0.173,0.498
Australia,7.057,1.854,1.461,0.692,0.756,0.225,0.323
New Zealand,7.029,1.81,1.527,0.673,0.746,0.226,0.48
Costa Rica,6.955,1.561,1.373,0.661,0.797,0.109,0.123
Kuwait,6.951,1.845,1.364,0.661,0.827,0.2,0.172
Austria,6.905,1.885,1.336,0.696,0.703,0.214,0.305
Canada,6.9,1.84,1.459,0.701,0.73,0.23,0.368
Belgium,6.894,1.868,1.44,0.69,0.729,0.17,0.311
Ireland,6.838,2.129,1.39,0.7,0.758,0.205,0.418
Czechia,6.822,1.783,1.511,0.638,0.787,0.177,0.068
Lithuania,6.818,1.766,1.454,0.598,0.533,0.044,0.116
United Kingdom,6.749,1.822,1.326,0.672,0.713,0.267,0.351
Slovenia,6.743,1.786,1.502,0.695,0.789,0.157,0.131
United Arab Emirates,6.733,1.983,1.164,0.563,0.815,0.209,0.258
United States,6.725,1.939,1.392,0.542,0.586,0.223,0.169
Germany,6.719,1.871,1.39,0.702,0.7,0.174,0.368
Mexico,6.678,1.521,1.241,0.544,0.722,0.086,0.127
Uruguay,6.611,1.596,1.431,0.592,0.775,0.106,0.22
France,6.609,1.818,1.348,0.727,0.65,0.112,0.281
Saudi Arabia,6.594,1.842,1.361,0.511,0.787,0.114,0.188
Kosovo,6.561,1.364,1.277,0.599,0.739,0.254,0.073
Singapore,6.523,2.118,1.361,0.769,0.743,0.168,0.575
Taiwan Province of China,6.503,1.842,1.346,0.65,0.649,0.068,0.202
Romania,6.491,1.699,1.236,0.583,0.717,0.041,0.006
El Salvador,6.469,1.265,1.08,0.549,0.816,0.083,0.253
Estonia,6.448,1.752,1.527,0.657,0.805,0.166,0.401
Poland,6.442,1.738,1.417,0.639,0.6,0.081,0.175
Spain,6.421,1.766,1.471,0.729,0.619,0.119,0.177
Serbia,6.411,1.538,1.391,0.585,0.663,0.2,0.101
Chile,6.36,1.616,1.369,0.673,0.651,0.117,0.075
Panama,6.358,1.702,1.392,0.633,0.72,0.063,0.043
Malta,6.346,1.827,1.444,0.707,0.727,0.25,0.125
Italy,6.324,1.8,1.328,0.72,0.513,0.112,0.074
Guatemala,6.287,1.26,1.169,0.467,0.735,0.105,0.078
Nicaragua,6.284,1.097,1.263,0.542,0.793,0.133,0.251
Brazil,6.272,1.43,1.269,0.548,0.685,0.13,0.142
Slovakia,6.257,1.706,1.54,0.638,0.566,0.096,0.058
Latvia,6.234,1.7,1.508,0.564,0.666,0.127,0.078
Uzbekistan,6.195,1.212,1.394,0.539,0.835,0.251,0.215
Argentina,6.188,1.562,1.381,0.585,0.681,0.087,0.08
Kazakhstan,6.188,1.622,1.457,0.556,0.733,0.149,0.12
Cyprus,6.068,1.794,1.217,0.744,0.529,0.124,0.049
Japan,6.06,1.786,1.354,0.785,0.632,0.023,0.219
South Korea,6.058,1.815,1.178,0.77,0.555,0.126,0.158
Philippines,6.048,1.232,1.146,0.441,0.826,0.099,0.136
Vietnam,6.043,1.331,1.267,0.539,0.843,0.094,0.16
Portugal,6.03,1.728,1.368,0.699,0.757,0.047,0.035
Hungary,6.017,1.722,1.528,0.596,0.581,0.123,0.067
Paraguay,5.977,1.398,1.408,0.549,0.788,0.131,0.065
Thailand,5.976,1.484,1.347,0.62,0.756,0.283,0.024
Malaysia,5.975,1.646,1.143,0.54,0.829,0.226,0.119
China,5.973,1.497,1.239,0.629,0.704,0.132,0.164
Honduras,5.968,1.091,1.035,0.502,0.72,0.175,0.081
Bahrain,5.959,,,,,,
Croatia,5.942,1.71,1.445,0.637,0.469,0.064,0.043
Greece,5.934,1.684,1.276,0.696,0.337,0.018,0.093
Bosnia and Herzegovina,5.877,1.465,1.318,0.587,0.621,0.246,
Libya,5.866,1.526,1.1,0.55,0.592,0.111,0.204
Jamaica,5.842,1.28,1.324,0.567,0.647,0.089,0.028
Peru,5.841,1.371,1.18,0.662,0.615,0.078,0.029
Dominican Republic,5.823,1.517,1.272,0.511,0.73,0.086,0.196
Mauritius,5.816,1.57,1.358,0.49,0.641,0.123,0.118
Moldova,5.816,1.385,1.277,0.542,0.695,0.077,0.044
Russia,5.785,1.642,1.351,0.531,0.551,0.138,0.121
Bolivia,5.784,1.217,1.179,0.488,0.719,0.1,0.061
Ecuador,5.725,1.315,1.151,0.64,0.606,0.087,0.078
Kyrgyzstan,5.714,1.054,1.477,0.588,0.834,0.225,0.03
Montenegro,5.707,1.571,1.318,0.587,0.632,0.11,0.132
Mongolia,5.696,1.353,1.511,0.4,0.501,0.237,0.055
Colombia,5.695,1.437,1.241,0.648,0.644,0.072,0.059
Venezuela,5.607,,1.321,0.491,0.518,0.192,0.086
Indonesia,5.568,1.361,1.184,0.472,0.779,0.399,0.055
