Season,Hero,Role,Assists,Critical Hit Kills,Critical Hits,Damage Done,Deaths,Defensive Assists,Eliminations,Final Blows,Games Played,Games Won,Healing Done,Hero Damage Done,Hero Wins,Kill Streak - Best,Obj Contest Time,Objective Kills,Objective Time,Offensive Assists,Self Healing,Solo Kills,Time Played,Time Spent on Fire
Season 01,Hanzo,Damage,0,0,0,649,1,0,0,0,0,0,0,649,0,0,0,0,0,0,0,0,35,0
Season 01,Lúcio,Support,7,1,20,4757,8,9,10,3,1,0,9920,4472,0,4,42,4,109,4,2063,0,591,0
Season 01,Mercy,Support,11,0,1,60,5,11,0,0,1,0,6658,60,0,0,7,0,37,5,1119,0,416,0
Season 01,Moira,Support,24,0,0,7205,7,22,29,5,2,1,15725,5704,1,16,28,11,216,0,2069,0,898,0
Season 01,Soldier 76,Damage,8,1,23,13353,11,7,23,15,2,1,2230,8466,1,6,19,7,27,0,1347,1,633,0
Season 01,Sombra,Damage,2,0,3,3057,3,0,2,0,1,0,0,2616,0,1,16,1,39,1,0,0,249,0
Season 02,Ana,Support,203,0,0,103300,170,326,267,64,25,12,227999,78432,12,10,831,143,1829,224,4096,5,16914,0
Season 02,Ashe,Damage,37,9,55,44901,31,0,64,26,4,1,0,34920,1,14,174,22,445,0,0,4,2573,0
Season 02,Baptiste,Support,102,9,205,50459,61,201,142,40,9,6,111317,39779,6,10,258,70,777,32,7823,3,6698,0
Season 02,Bastion,Damage,203,18,356,318899,163,0,426,223,19,9,0,223761,9,21,619,204,1719,0,0,21,12001,0
Season 02,Brigitte,Support,17,0,0,3752,3,28,23,5,1,1,6711,3402,1,13,43,7,56,7,1283,1,419,0
Season 02,Cassidy,Damage,24,4,23,30297,18,0,58,34,3,1,0,24429,1,8,84,25,277,0,0,7,1696,0
Season 02,D.Va,Tank,13,2,293,13158,6,0,25,12,1,1,0,7973,1,10,43,6,43,0,0,1,585,0
Season 02,Echo,Damage,12,0,34,11905,8,0,16,4,1,0,0,8309,0,8,86,12,112,0,0,1,607,0
Season 02,Genji,Damage,0,0,1,1411,1,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,74,0
Season 02,Hanzo,Damage,166,123,294,248965,144,0,467,301,19,10,0,209434,10,16,346,166,1090,0,0,64,13498,0
Season 02,Junker Queen,Tank,65,0,0,43903,28,0,104,39,4,3,7541,40392,3,16,574,55,617,0,6472,3,2785,0
Season 02,Junkrat,Damage,111,0,0,127092,65,0,224,113,10,6,0,95312,6,16,113,69,330,55,0,26,6007,0
Season 02,Kiriko,Support,139,23,160,59875,196,785,194,55,38,19,447508,46292,19,6,1329,91,2591,281,0,5,24416,0
Season 02,Lúcio,Support,178,7,253,83802,85,203,217,36,15,9,151475,58202,9,11,862,100,1274,81,24566,3,10002,0
Season 02,Mei,Damage,8,0,0,28155,8,0,20,12,1,1,1120,6111,1,10,78,6,85,6,1120,2,591,0
Season 02,Mercy,Support,13,2,14,2441,164,660,17,4,26,12,344249,1964,12,3,824,4,1843,190,32922,1,18855,0
Season 02,Moira,Support,467,0,0,165251,161,644,620,153,35,18,365569,146737,18,15,1850,346,2966,0,43977,10,20752,0
Season 02,Orisa,Tank,141,0,0,147797,80,0,222,78,10,4,0,119244,4,12,887,109,1417,62,0,5,6765,0
Season 02,Pharah,Damage,6,0,0,3323,4,0,8,2,0,0,0,3012,0,8,6,2,24,0,0,2,287,0
Season 02,Ramattra,Tank,29,1,241,35325,19,0,47,18,2,1,0,30969,1,8,227,16,427,11,0,0,1678,0
Season 02,Reaper,Damage,40,12,913,43675,36,0,93,53,5,1,7383,38884,1,15,295,39,500,0,7383,10,2753,0
Season 02,Reinhardt,Tank,14,0,0,23419,13,0,39,25,2,1,0,21298,1,13,324,18,552,6,0,2,1360,0
Season 02,Roadhog,Tank,53,15,1088,65345,44,0,120,62,5,3,30531,56557,3,15,440,58,1067,18,30531,1,3783,0
Season 02,Sigma,Tank,81,0,0,76386,33,0,127,45,6,4,0,67785,4,12,449,52,866,24,0,7,3528,0
Season 02,Sojourn,Damage,89,0,0,98285,65,0,170,81,7,3,0,76863,3,13,191,82,539,0,0,6,5058,0
Season 02,Soldier 76,Damage,246,27,969,273394,184,115,473,227,23,8,44821,216867,8,16,887,214,1628,0,21840,23,14339,0
Season 02,Sombra,Damage,2,1,4,595,1,0,4,2,0,0,250,565,0,4,5,1,5,1,0,0,111,0
Season 02,Symmetra,Damage,32,0,0,19685,15,0,57,25,2,1,0,18600,1,17,125,35,135,0,0,3,1173,0
Season 02,Torbjörn,Damage,26,5,56,32929,14,0,48,22,3,2,0,25163,2,8,32,20,58,0,0,4,1535,0
Season 02,Widowmaker,Damage,1,7,13,6097,7,0,10,9,1,0,0,5476,0,3,1,1,7,0,0,5,477,0
Season 02,Winston,Tank,9,0,0,4601,4,0,11,2,1,0,0,3709,0,4,53,6,53,0,0,0,339,0
Season 02,Zenyatta,Support,53,6,51,35195,38,118,74,21,4,1,46134,27662,1,10,56,31,429,65,948,3,3453,0
Season 03,Ana,Support,300,0,0,142425,184,471,395,95,32,14,326394,106632,14,14,573,179,2392,336,8080,4,22736,0
Season 03,Ashe,Damage,107,51,199,158665,107,0,254,147,13,7,0,130353,7,10,314,88,921,0,0,19,9215,0
Season 03,Baptiste,Support,92,13,171,59576,84,246,145,53,13,7,160444,42993,7,9,566,76,1381,33,13518,7,9133,0
Season 03,Bastion,Damage,386,21,639,649936,247,0,770,384,30,16,0,433958,16,17,827,332,2861,0,0,41,23300,0
Season 03,Brigitte,Support,17,0,0,9914,13,39,28,9,2,2,16334,8795,2,5,102,13,112,10,2313,2,1141,0
