Season (raw),Hero (raw),Role (raw),Assists (raw),Assists - Most in Game (raw),Critical Hit Damage (raw),Critical Hit Damage - Most in Game (raw),Critical Hit Kills (raw),Critical Hit Kills - Most in Game (raw),Critical Hits (raw),Critical Hits - Most in Game (raw),Critical Hits - Most in Life (raw),Damage Done (raw),Damage Done - Most in Game (raw),Damage Done - Most in Life (raw),Deaths (raw),Defensive Assists (raw),Defensive Assists - Most in Game (raw),Eliminations (raw),Eliminations - Most in Game (raw),Eliminations - Most in Life (raw),Final Blows (raw),Final Blows - Most in Game (raw),Games Played (raw),Games Tied (raw),Games Won (raw),Healing Accuracy - Best in Game (raw),Healing Done (raw),Healing Done - Most in Game (raw),Hero Damage Done (raw),Hero Damage Done - Most in Game (raw),Hero Damage Done - Most in Life (raw),Hero Wins (raw),Kill Streak - Best (raw),Melee Kills (raw),Obj Contest Time (raw),Obj Contest Time - Most in Game (raw),Objective Kills (raw),Objective Kills - Most in Game (raw),Objective Time (raw),Objective Time - Most in Game (raw),Offensive Assists (raw),Offensive Assists - Most in Game (raw),Scoped Accuracy - Best in Game (raw),Scoped Critical Hit Kills (raw),Scoped Critical Hits (raw),Scoped Critical Hits - Most in Game (raw),Self Healing (raw),Self Healing - Most in Game (raw),Solo Kills (raw),Solo Kills - Most in Game (raw),Time Played (raw),Time Spent on Fire (raw),Time Spent on Fire - Most in Game (raw),Ultimate Damage (raw),Weapon Accuracy - Best in Game (raw)
Season 01,Hanzo,Damage,0,0,0,0,0,0,0,0,0,649,649,649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,649,649,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
Season 01,Lúcio,Support,7,10,0,0,1,1,20,20,5,"4,757","4,757",871,8,9,9,10,10,4,3,3,1,0,0,0,"9,920","9,920","4,472","4,472",871,0,4,0,42,42,4,4,109,109,4,4,0,0,0,0,"2,063","2,063",0,0,591,0,0,0,0
Season 01,Mercy,Support,11,11,0,0,0,0,1,1,1,60,60,60,5,11,11,0,0,0,0,0,1,0,0,0,"6,658","6,658",60,60,60,0,0,0,7,7,0,0,37,37,5,5,0,0,0,0,"1,119","1,119",0,0,416,0,0,0,1
Season 01,Moira,Support,24,17,0,0,0,0,0,0,0,"7,205","4,379","2,918",7,22,18,29,24,16,5,4,2,0,1,0,"15,725","7,889","5,704","3,330","1,911",1,16,0,28,13,11,11,216,197,0,0,0,0,0,0,"2,069","1,137",0,0,898,0,0,0,0
Season 01,Soldier: 76,Damage,8,5,0,0,1,1,23,19,5,"13,353","10,720","2,942",11,7,7,23,23,6,15,15,2,0,1,0,"2,230","1,709","8,466","6,840","1,845",1,6,0,19,19,7,7,27,27,0,0,0,0,0,0,"1,347","1,031",1,1,633,0,0,0,0
Season 01,Sombra,Damage,2,1,0,0,0,0,3,0,0,"3,057","3,057","1,525",3,0,0,2,2,1,0,0,1,0,0,0,0,0,"2,616","2,616","1,525",0,1,0,16,16,1,1,39,39,1,1,0,0,0,0,0,0,0,0,249,0,0,0,0
Season 02,Ana,Support,203,28,0,0,0,0,0,0,0,"103,300","6,273","2,192",170,326,27,267,30,10,64,10,25,0,12,0,"227,999","15,996","78,432","4,638","2,027",12,10,0,831,120,143,14,"1,829",156,224,18,1,0,0,0,"4,096",402,5,1,"16,914",0,0,0,1
Season 02,Ashe,Damage,37,3,0,0,9,3,55,9,9,"44,901","8,349","4,953",31,0,0,64,15,14,26,6,4,0,1,0,0,0,"34,920","7,971","4,878",1,14,0,174,56,22,7,445,97,0,0,1,8,37,7,0,0,4,1,"2,573",0,0,0,0
Season 02,Baptiste,Support,102,31,0,0,9,3,205,40,15,"50,459","6,296","2,664",61,201,34,142,24,10,40,9,9,0,6,1,"111,317","17,991","39,779","5,009","1,914",6,10,0,258,51,70,9,777,169,32,6,0,0,0,0,"7,823","1,305",3,1,"6,698",0,0,0,0
Season 02,Bastion,Damage,203,5,0,0,18,3,356,32,11,"318,899","24,945","10,907",163,0,0,426,37,21,223,21,19,0,9,0,0,0,"223,761","15,217","7,001",9,21,0,619,117,204,24,"1,719",212,0,0,0,0,0,0,0,0,21,4,"12,001",0,0,0,0
Season 02,Brigitte,Support,17,23,0,0,0,0,0,0,0,"3,752","3,495","1,948",3,28,0,23,23,13,5,5,1,0,1,0,"6,711","6,289","3,402","3,209","1,662",1,13,0,43,43,7,7,56,50,7,0,0,0,0,0,"1,283",0,1,1,419,0,0,0,0
Season 02,Cassidy,Damage,24,0,0,0,4,1,23,5,4,"30,297","5,605","3,060",18,0,0,58,11,8,34,8,3,0,1,0,0,0,"24,429","4,325","2,810",1,8,0,84,27,25,5,277,83,0,0,0,0,0,0,0,0,7,2,"1,696",0,0,0,1
Season 02,D.Va,Tank,13,7,0,0,2,2,293,181,57,"13,158","9,971","3,797",6,0,0,25,21,10,12,10,1,0,1,0,0,0,"7,973","5,900","1,917",1,10,0,43,34,6,3,43,34,0,0,0,0,0,0,0,0,1,1,585,0,0,0,0
Season 02,Echo,Damage,12,0,0,0,0,0,34,17,16,"11,905","5,247","3,527",8,0,0,16,9,8,4,2,1,0,0,0,0,0,"8,309","3,463","1,835",0,8,0,86,45,12,6,112,45,0,0,0,0,0,0,0,0,1,1,607,0,0,0,0
Season 02,Genji,Damage,0,0,0,0,0,0,1,1,1,"1,411","1,411","1,411",1,0,0,0,0,0,0,0,0,0,0,0,0,0,638,638,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0
